,AUD,BRL,CAD,CHF,CLP,CNH,COP,CZK,EUR,GBP,HUF,IDR,ILS,INR,JPY,KRW,MXN,NOK,NZD,PLN,RUB,SEK,TRY,ZAR
1999-01-04,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-05,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-06,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-07,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-08,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-11,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-12,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-13,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-14,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-15,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-19,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-20,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-21,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-22,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-25,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-26,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-27,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-28,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-29,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-01,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-02,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-03,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-04,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-05,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-08,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-09,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-10,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-11,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-12,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-16,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-17,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-18,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-19,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-22,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-23,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-24,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-25,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-26,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-01,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-02,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-03,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-04,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-05,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-08,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-09,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-10,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-11,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-12,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-15,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-16,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-17,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-18,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-19,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-22,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-23,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-24,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-25,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-26,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-29,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-30,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-31,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-01,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-06,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-07,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-08,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-09,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-12,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-13,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-14,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-15,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-16,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-19,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-20,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-21,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-22,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-23,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-26,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-27,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-28,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-29,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-30,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-04,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-05,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-06,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-07,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-10,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-11,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-12,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-13,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-14,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-17,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-18,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-19,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-20,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-21,,,,,,,,,,,,,,,,,,,,,,,,
